screen_name,text,date,favorite_count,retweet_count,location
MSocksGaming,"RT @MadScientistFM: The Football Manager 2020 Editor is out now 🙌🙌🙌

The process has begun....
The 2006/07 DB is in the making 💾

#Football…",2019-11-19 06:43:51,0,19,
mateoleonardd,"RT @eLS_Officiel: ☘️ #JeuConcours #FM20

#ÉcrivezLeFutur avec FMFrance 🙌

👀🧡💛💜

Gagne 1 JEU #FootballManager2020 

1️⃣ RT ce Tweet

2️⃣ Fol…",2019-11-19 06:38:28,0,358,"Beaulieu-sous-la-Roche, France"
Pssst_Craig,Art imitating life #FootballManager2020 https://t.co/f6X4zcOGtY,2019-11-19 06:28:51,0,0,"East Kilbride, Scotland"
Pssst_Craig,One for Celtic supporters to moan about 2 penalties to Rangers and the other team having a player sent off 😝… https://t.co/fQU2HYwYKT,2019-11-19 06:26:56,1,0,"East Kilbride, Scotland"
AlexisEluecque,"RT @Tooonss: 💻⚽️ Une pensée pour nos femmes... #FM20  #FootballManager2020 
🙏 Thanks @milesSI 
Bon jeu à tous https://t.co/1DifFLpcrm",2019-11-19 06:02:35,0,5,
gzBlitz,"So excited to start a long term career with Football Manager 2020 today, but the player database has some serious p… https://t.co/tLQqTmgJd1",2019-11-19 06:00:46,0,0,"Plymouth, MN"
arlhhot,"RT @DeportesKC: Gracias a todos los que se pasaron. Una locura el #FootballManager2020 y que se jugará por lo menos un día a la semana.

El…",2019-11-19 05:55:17,0,2,Quito Ecuador
ynderberg,"#FootballManager2020 está disponible en PC, Mac, iOs y Android https://t.co/kxJ7YU8OVX https://t.co/wyd4kiwRr9",2019-11-19 05:26:51,0,0,
frikig4mers,"#FootballManager2020 está disponible en PC, Mac, iOs y Android https://t.co/XsxUxRTKuw https://t.co/PR6hsIpT4k",2019-11-19 05:26:50,0,0,Dominican Republic
ozyavasm,#FootballManager2020 ilk derbi 😘 #BizimYolumuzBaşka @Besiktas https://t.co/Jy78hY78pn,2019-11-19 05:23:20,0,0,
GyakusyunoReds,"リザーブにいる選手をトップに
引き上げる時に、次の試合だけ
という選択肢が増えたの便利。

特にプレミアリーグはカラバオ
カップ等で過密日程なので、
リザーブの若手の力は必要ですね

#FootballManager2020 https://t.co/YX9dweizzA",2019-11-19 05:16:58,0,0,日本
Villegas194,"RT @DeportesKC: Gracias a todos los que se pasaron. Una locura el #FootballManager2020 y que se jugará por lo menos un día a la semana.

El…",2019-11-19 04:47:35,0,2,
Villegas194,"RT @DeportesKC: 🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué equipo ser…",2019-11-19 04:47:26,0,5,
DeportesKC,Gracias a todos los que se pasaron. Una locura el #FootballManager2020 y que se jugará por lo menos un día a la sem… https://t.co/FbfAbwj1tW,2019-11-19 04:46:57,38,2,"Guadalajara, Jalisco"
abrie_ferreira,"RT @MadScientistFM: The Football Manager 2020 Editor is out now 🙌🙌🙌

The process has begun....
The 2006/07 DB is in the making 💾

#Football…",2019-11-19 04:31:42,0,19,
all_flying,"For those of you doing English lower league saves.

Does it seem like there is way too much talent unsigned laying… https://t.co/uPK0FNQinA",2019-11-19 04:26:06,2,0,"Las Vegas, NV"
DarkHeartBuitre,"RT @DeportesKC: 🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué equipo ser…",2019-11-19 04:18:34,0,5,
FmSudakas,"Háblame de alegría ❤️

Tenemos nuestro rincón @FootballManager 🇦🇷

Se vienen cosas buenas para este FM

Romperemos… https://t.co/QinqcYuJ2c",2019-11-19 03:39:03,9,0,
arlhhot,"RT @DeportesKC: 🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué equipo ser…",2019-11-19 02:53:52,0,5,Quito Ecuador
OfficialShawnMc,"I'm proud of the kids in #Compton 
Out there playing hard and getting good grades #Footballcompton… https://t.co/eqDm9eVD6K",2019-11-19 02:53:10,0,0,"California, USA"
dani3l_h_5alvio,"RT @DeportesKC: 🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué equipo ser…",2019-11-19 02:44:07,0,5,"Guadalajara, Jalisco"
SteveRocker37,"RT @DeportesKC: 🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué equipo ser…",2019-11-19 02:29:26,0,5,"Puebla, México"
DeportesKC,"🔴EN VIVO: #FootballManager2020 

Tus ojos no te engañan. Don Carlino Reynoso regresa a los banquillos...¿con qué eq… https://t.co/wgHop9vr5q",2019-11-19 02:28:33,42,5,"Guadalajara, Jalisco"
Solvik_liberal,#FM2020 i salg: https://t.co/qVUjaVKP6s #FootballManager2020,2019-11-19 01:59:32,0,0,Norge 
MrMostafaMiah,Why has the game crashed already?! @FootballManager  #FootballManager2020 #FM20ReleaseDay #FM20,2019-11-19 01:54:31,0,0,Northampton
iam_TUNADEZ,"RT @dazothomson: Football manager 20 is out !!!
Need to get the suit out !!
#FM20 #FootballManager2020",2019-11-19 01:49:22,0,2,
Satr14rsenal,"RT @MadScientistFM: The Football Manager 2020 Editor is out now 🙌🙌🙌

The process has begun....
The 2006/07 DB is in the making 💾

#Football…",2019-11-19 01:48:02,0,19,chat shit asahinated
Muted79,"RT @TCSSkin: What was this bug and how did we fix it? The following guide explains it and how skinners can fix it.
@FMwkdsoul #FM20 #Footba…",2019-11-19 01:34:11,0,1,"Melbourne, Australia"
TCSSkin,"What was this bug and how did we fix it? The following guide explains it and how skinners can fix it.
@FMwkdsoul… https://t.co/nCatdPCTLs",2019-11-19 01:31:02,2,1,
abboydo,Oh yehhh #FootballManager2020 #Mobile https://t.co/lpAk8jNUvb,2019-11-19 01:27:57,0,0,Liverpool
AlessandraColli,Forza milan zebre merda #FootballManager2020,2019-11-19 01:15:12,0,0,
haryoxz,"The Second Division: Australian Championship

""Added North Qld Fury into the league from extinction""

Bass Strait D… https://t.co/3QhwzKlJZF",2019-11-19 01:04:50,1,0,
haryoxz,"This is the current #aleague (Australian Premier League) teams. Any derbies suggestions, replacement teams or rival… https://t.co/Gpt64gvUPv",2019-11-19 00:59:19,2,0,
PietroMarano_,"Forgot how addictive football manager is. Almost 4 hours played today and only two pre season games in, I got so in… https://t.co/KsJbqlMUVf",2019-11-19 00:56:26,0,0,England
HGemsReviews,This banner for #FootballManager2020 on Steam looks like a Flash ad from the early 2000s: https://t.co/C1W3xGvQ7H,2019-11-19 00:49:22,0,0,NY
Bagolol__,@Rtupoke mo nanya min #FootballManager2020 di steam sama di hp bedanya apa?sama seruan dimana?baru mau main soalnya😅,2019-11-19 00:15:58,0,0,Indonesia
HoneymadeSerb,"RT @DanSandberg95: 💷Football manager 2020 Giveaway
❤️Like this tweet
👥Follow me
      RT this tweet

✍️Then you have a chance to win a COPY…",2019-11-19 00:12:44,0,70,
